Chi_tieu,Gia_tri,Don_vi
A. TÀI SẢN NGĂN HẠN,2142716548893,VND
I. Tiền và các khoản tương đương tiền,509577636533,VND
1. Tiền,120809634969,VND
2. Các khoản tương đương tiền,388768001564,VND
II. Đầu tư tài chính ngắn hạn,50000000000,VND
1. Đầu tư nằm giữ đến ngày đáo hạn,50000000000,VND
III. Các khoản phải thu ngắn hạn,961381022420,VND
1. Phải thu ngắn hạn của khách hàng,417516053153,VND
2. Trả trước cho người bán ngắn hạn,325870456358,VND
3. Phải thu về cho vay ngắn hạn,129729000000,VND
4. Phải thu ngắn hạn khác,88265512909,VND
IV. Hàng tồn kho,536681725193,VND
1. Hàng tồn kho,536681725193,VND
V. Tài sản ngắn hạn khác,85076164747,VND
1. Chỉ phí trả trước ngắn hạn,18897599281,VND
2. Thuế GTGT được khấu trừ,65917582112,VND
3. Thuế và các khoản khác phải thu Nhà nước,260983354,VND
B. TÀI SẢN DÀI HẠN,2433440579906,VND
I. Tài sản cố định,2299486571152,VND
1. Tài sản cố định hữu hình,2202974097676,VND
- Nguyên giá,2707435817410,VND
- Giá trị hao mòn luỹ kế,-504461719734,VND
2. Tài sản cố định vô hình,96512473476,VND
- Nguyên giá,103445820433,VND
- Giá trị hao mòn luỹ kế,-6933346957,VND
II. Tài sản dở dang dài hạn,98121103897,VND
1. Chỉ phí xây dựng cơ bản dở dang,98121103897,VND
IV. Tài sản dài hạn khác,35832904857,VND
1. Chỉ phí trả trước dài hạn,35612756095,VND
2. Tài sản thuế thu nhập hoãn lại,220148762,VND
TỔNG CỘNG TÀI SẢN,4576157128799,VND
C. NỘ PHẢI TRẢ,2951186840177,VND
I. Nợ ngắn hạn,1990803708402,VND
1. Phải trả người bán ngắn hạn,519298194029,VND
2. Người mua trả tiền trước ngắn hạn,17127077695,VND
3. Thuế và các khoản phải nộp Nhà nước,14232960650,VND
4. Phải trả người lao động,13308406810,VND
5. Chi phí phải trả ngắn hạn,6422195946,VND
6. Phải trả ngắn hạn khác,2702175863,VND
7. Vay và nợ thuê tài chính ngắn hạn,1417686392234,VND
"8. Quỹ khen thưởng, phúc lợi",26305175,VND
II. Nợ dài hạn,960383131775,VND
1. Vay và nợ thuê tài chính dài hạn,959926578352,VND
2. Thuế thu nhập hoãn lại phải trả,456553423,VND
D. VỐN CHỦ SỞ HỮU,1624970288622,VND
I. Vốn chủ sở hữu,1624970288622,VND
1. Vốn góp của chủ sở hữu,835999880000,VND
- Cổ phiếu phổ thông có quyền biểu quyết,835999880000,VND
2. Thặng dư vốn cổ phần,198063767329,VND
3. Chênh lệch tỷ giá hối đoái,158818819,VND
4. Quỹ đầu tư phát triển,45683661717,VND
5. Quỹ khác thuộc vốn chủ sở hữu,13177404323,VND
6. Lợi nhuận sau thuế chưa phân phối,283769575300,VND
- LNST chưa phân phối lũy kế đến cuối năm trước,90051907554,VND
- LNST chưa phân phối năm nay,193717667746,VND
7. Lợi ích cổ đông không kiểm soát,248117181134,VND
TỔNG CỘNG NGUỒN VỐN,4576157128799,VND
