Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,3768971356079,VND
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,3768971356079,VND
4. Giá vốn hàng bán và dịch vụ cung cấp,-2199977834709,VND
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,1568993521370,VND
6. Doanh thu hoạt động tài chính,3785357949204,VND
7. Chi phí tài chính,-3628043069763,VND
Trong đó: Chi phí lãi vay,-3287464598199,VND
8. Chi phí bán hàng,-182418641090,VND
9. Chi phí quản lý doanh nghiệp,-118743581436,VND
10. Lợi nhuận thuần từ hoạt động kinh doanh,1425146178285,VND
11. Thu nhập khác,10878730989,VND
12. Chi phí khác,-5388771472,VND
13. Lợi nhuận/(lỗ) khác,5489959517,VND
14. Tổng lợi nhuận trước thuế,1430636137802,VND
15. Chi phí thuế TNDN hiện hành,-75633333258,VND
16. Thu nhập thuế TNDN hoãn lại,30050956650,VND
17. Lợi nhuận sau thuế TNDN,1385053761194,VND
