Chi_tieu,Gia_tri,Don_vi
Doanh thu lãi,50827098,Trieu VND
Lãi thuần từ hoạt động dịch vụ,4059031,Trieu VND
Lãi thuần từ hoạt động kinh doanh khác,5893615,Trieu VND
Chi phí lãi,-16478269,Trieu VND
Chi phí khấu hao tài sản cố định,-379228,Trieu VND
Chi phí liên quan trực tiếp đến hoạt động kinh doanh,-10339709,Trieu VND
Kết quả kinh doanh trước chi phí dự phòng rủi ro,33582538,Trieu VND
Chi phí dự phòng rủi ro,-19218768,Trieu VND
Kết quả kinh doanh bộ phận,14363770,Trieu VND
Tiền mặt,2345733,Trieu VND
Tài sản cố định,1872973,Trieu VND
Tài sản khác,543190733,Trieu VND
Nợ phải trả khách hàng bên ngoài,451867579,Trieu VND
Nợ phải trả nội bộ,446723,Trieu VND
Nợ phải trả khác,8816990,Trieu VND
