Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,601492106515,VND
3. Doanh thu thuần bán hàng và cung cấp dịch vụ,601492106515,VND
4. Giá vốn hàng bán,328901676364,VND
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,272590430151,VND
6. Doanh thu hoạt động tài chính,539656099,VND
7. Chi phí tài chính,9043094215,VND
Trong đó: Chi phí lãi vay,9043094215,VND
8. Chi phí bán hàng,16054010470,VND
9. Chi phí quản lý doanh nghiệp,83476865077,VND
10. Lợi nhuận thuần từ hoạt động kinh doanh,164556116488,VND
11. Thu nhập khác,349820465,VND
12. Chi phí khác,3268901426,VND
13. Lợi nhuận khác,-2919080961,VND
14. Tổng lợi nhuận kế toán trước thuế,161637035527,VND
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,32645086635,VND
17. Lợi nhuận sau thuế thu nhập doanh nghiệp,128991948892,VND
18. Lãi cơ bản trên cổ phiếu,9922,VND/co phieu
