Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,2367129320250,
2. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),2367129320250,
3. Giá vốn hàng bán và cung cấp dịch vụ,2022627467039,
4. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),344501853211,
5. Doanh thu hoạt động tài chính,147366301209,
6. Chi phí tài chính,-2827234448,
- Trong đó: Chi phí lãi vay,7709966832,
8. Chi phí quản lý doanh nghiệp,60863215062,
9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),433832173806,
10. Thu nhập khác,9508686948,
11. Chi phí khác,53560149,
12. Lợi nhuận khác (40=31-32),9455126799,
13. Tổng lợi nhuận kể toán trước thuế (50=30+40),443287300605,
14. Chi phí thuế thu nhập doanh nghiệp hiện hành,85821570001,
15. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,-8039327435,
16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),365505058039,
