Chi_tieu,Gia_tri,Don_vi
A. TÀI SẢN NGĂN HẠN,2961327782897,VND
I. Tiền và các khoản tương đương tiền,470480211671,VND
1. Tiền,78800387331,VND
2. Các khoản tương đương tiền,391679824340,VND
III. Các khoản phải thu ngắn hạn,1502138490980,VND
1. Phải thu ngắn hạn của khách hàng,341005305484,VND
2. Trả trước cho người bán ngắn hạn,1028788727047,VND
6. Phải thu ngắn hạn khác,132344458449,VND
IV. Hàng tồn kho,981793267879,VND
1. Hàng tồn kho,981793267879,VND
V. Tài sản ngắn hạn khác,6915812367,VND
2. Thuế GTGT được khấu trừ,4519972265,VND
3. Thuế và các khoản khác phải thu Nhà nước,2395840102,VND
B. TÀI SẢN DÀI HẠN,827934159833,VND
II. Tài sản cố định,111076087599,VND
1. Tài sản cố định hữu hình,80599484495,VND
- Nguyên giá,109097365157,VND
- Giá trị hao mòn lũy kế (*),-28497880662,VND
3. Tài sản cố định vô hình,30476603104,VND
- Nguyên giá,30476603104,VND
III. Bất động sản đầu tư,47884453137,VND
- Nguyên giá,52489956454,VND
- Giá trị hao mòn lũy kế (*),-4605503317,VND
IV. Tài sản dở dang dài hạn,3683548342,VND
2. Chi phí xây dựng cơ bản dở dang,3683548342,VND
V. Đầu tư tài chính dài hạn,654084332253,VND
1. Đầu tư vào công ty con,413464109800,VND
"2. Đầu tư vào công ty liên doanh, liên kết",200386570000,VND
3. Đầu tư góp vốn vào đơn vị khác,40060000000,VND
4. Dự phòng đầu tư tài chính dài hạn (*),-4936347547,VND
5. Đầu tư nắm giữ đến ngày đáo hạn,5110000000,VND
V. Tài sản dài hạn khác,11205738502,VND
1. Chi phí trả trước dài hạn,11205738502,VND
TỔNG CỘNG TÀI SẢN,3789261942730,VND
C. NỘ PHẢI TRẢ,1429027445580,VND
I. Nợ ngắn hạn,900939906580,VND
1. Phải trả người bán ngắn hạn,74369561589,VND
2. Người mua trả tiền trước ngắn hạn,261271670424,VND
3. Thuế và các khoản phải nộp Nhà nước,14319760871,VND
8. Doanh thu chưa thực hiện ngắn hạn,32749770226,VND
9. Phải trả ngắn hạn khác,56590959867,VND
10. Vay và nợ thuê tài chính ngắn hạn,451197513306,VND
"12. Quỹ khen thưởng, phúc lợi",10440670297,VND
II. Nợ dài hạn,528087539000,VND
7. Phải trả dài hạn khác,500000000,VND
8. Vay và nợ thuê tài chính dài hạn,527587539000,VND
D. VỐN CHỦ SỞ HỮU,2360234497150,VND
I. Vốn chủ sở hữu,2360234497150,VND
I. Vốn đầu tư của chủ sở hữu,2199398670000,VND
- Cổ phiếu phổ thông có quyền biểu quyết,2199398670000,VND
2. Thặng dư vốn cổ phần,45056200000,VND
8. Quỹ đầu tư phát triển,29741625938,VND
10. Quỹ khác thuộc vốn chủ sở hữu,4971647795,VND
11. Lợi nhuận sau thuế chưa phân phối,81066353417,VND
- LNST chưa phân phối lũy kế đến cuối kỳ trước,7821127120,VND
- LNST chưa phân phối kỳ này,73245226297,VND
TỔNG CỘNG NGUỒN VỐN,3789261942730,VND
