Chi_tieu,Gia_tri,Don_vi
Ngắn hạn,8708463863,VND
"- Công cụ, dụng cụ chờ phân bổ",896572174,VND
- Chi phí bảo hiểm,586740489,VND
"- Tiền thuê đất, văn phòng",2381275488,VND
- Chi phí kiểm định,677447360,VND
- Các chi phí trả trước ngắn hạn khác,4166428352,VND
Dài hạn,206563746022,VND
"- Công cụ, dụng cụ chờ phân bổ",15276702933,VND
- Chi phí sửa chữa TSCĐ,53474614138,VND
"- Chi phí đèn bù, GPMB",25657749906,VND
- Chi phí cải tạo văn phòng,84824800925,VND
- Các chi phí trả trước dài hạn khác,27329878120,VND
