Chi_tieu,Gia_tri,Don_vi
Tổng lợi nhuận kế toán trước thuế,1605352819772,VND
Điều chỉnh các khoản thu nhập chịu thuế,-158799358991,VND
- Điều chỉnh tăng,9567669467,VND
"+ Lỗ CLTG đánh giá số dư tiền, nợ phải thu",170177932,VND
"+ Chi phí không hợp lý, hợp lệ",9397491535,VND
- Điều chỉnh giảm,168367028458,VND
+ Cổ tức lợi nhuận được chia,168364868458,VND
"+ Lãi CLTG đánh giá số dư tiền, nợ phải thu",2160000,VND
Tổng thu nhập chịu thuế,1446553460781,VND
Thu nhập được miễn thuế,320052453548,VND
Tổng thu nhập tính thuế,1126501007233,VND
- Thu nhập từ hoạt động SXKD chính,1073310185266,VND
- Thu nhập khác,52891109770,VND
Thuế thu nhập doanh nghiệp,186273291257,VND
- Từ hoạt động SXKD chính,181760591113,VND
- Thu nhập khác,4512700144,VND
Chi phí thuế thu nhập doanh nghiệp hiện hành,185105855326,VND
- Chi phí thuế TNDN hiện hành phát sinh kỳ này,186273291257,VND
- Điều chỉnh chi phí thuế thu nhập doanh nghiệp hiện hành kỳ trước vào chi phí thuế TNDN hiện hành kỳ này,-1167435931,VND
