Chi_tieu,Gia_tri,Don_vi
Từ khách hàng bên ngoài,10766205824099,VND
Tổng cộng,10766205824099,VND
"Lợi nhuận trước thuế, thu nhập tài chính và chi phí tài chính",761323666264,VND
Thu nhập tài chính,102760488158,VND
Chi phí tài chính,-152732246167,VND
"Lãi từ công ty liên doanh, liên kết",3920176597,VND
Lợi nhuận trước thuế,715272084852,VND
Chi phí thuế TNDN hiện hành,-98981437954,VND
Chi phí thuế TNDN hoãn lại,-48277443972,VND
Lợi nhuận sau thuế trong năm,568013202926,VND
Tài sản của bộ phận,11587234689380,VND
"Tiền của Tập đoàn Đầu tư vào công ty liên doanh, liên kết",572302157645,VND
Tổng tài sản,11449797634764,VND
Nợ phải trả của bộ phận,-10535402837195,VND
Nợ phải trả không phân bổ,915763436890,VND
Tổng nợ phải trả,-9619639400305,VND
