Chi_tieu,Gia_tri,Don_vi
Doanh thu bán hàng và cung cấp dịch vụ,521876230002,VND
Doanh thu thuần bán hàng và cung cấp dịch vụ,521876230002,VND
Giá vốn hàng bán,449905246094,VND
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,71970983908,VND
Doanh thu hoạt động tài chính,967954387008,VND
Chi phí tài chính,751394470303,VND
Trong đó: Chi phí lãi vay,204143953149,VND
Chi phí quản lý doanh nghiệp,-68055238974,VND
Lợi nhuận thuần từ hoạt động kinh doanh,356586139587,VND
Thu nhập khác,279085342716,VND
Chi phí khác,7993268,VND
Lợi nhuận khác,279077349448,VND
Tổng lợi nhuận kế toán trước thuế,635663489035,VND
Chi phí thuế TNDN hiện hành,78293776585,VND
Chi phí thuế TNDN hoãn lại,-104376196246,VND
Lợi nhuận sau thuế thu nhập doanh nghiệp,661745908696,VND
